Gender,Age,Married,Dependents,Education,Employment Type,Monthly Income,CoApplicant Income,Loan Amount,Loan Term,Credit History,Existing Debt,Property Area,Loan_Status
Female,25,Yes,3,Graduate,Self employed,8504.363494128767,0.0,30000.0,360,0.0,5524.109448857869,Semiurban,1
Male,24,Yes,1,Graduate,Salaried,8969.312733154842,163.40666875717784,30000.0,180,1.0,19024.468631265598,Semiurban,1
Male,58,Yes,0,Graduate,Self employed,3448.4424512166565,387.4170591179104,30000.0,180,1.0,1015.9758649156865,Rural,1
Female,56,No,1,Graduate,Salaried,1500.0,1057.8716844713756,30000.0,360,1.0,14626.943782652304,Semiurban,0
Female,54,Yes,2,Graduate,Self employed,6247.587052518003,532.3805037663293,30000.0,36,1.0,13429.927706290617,Rural,1
Female,43,Yes,1,Graduate,Salaried,8327.095565876323,2574.0094158151105,30000.0,60,1.0,7069.655294463137,Semiurban,1
Male,55,Yes,2,Graduate,Self employed,10493.986306085786,0.0,41875.333129646686,240,0.0,11818.517797394827,Semiurban,0
Female,28,No,1,Graduate,Salaried,7290.743930253628,0.0,30000.0,60,1.0,7019.678778675576,Semiurban,1
Female,65,No,1,Graduate,Salaried,5070.708258535763,1718.3133077806924,30000.0,360,1.0,3426.3893851060457,Urban,1
Male,45,No,0,Graduate,Self employed,3767.1734460378434,0.0,30000.0,60,1.0,9171.082067090845,Urban,1
Male,66,No,2,Graduate,Self employed,6028.628229176636,1584.5375579800034,30000.0,60,0.0,3168.0909170267078,Urban,1
Male,27,No,0,Graduate,Self employed,5251.838240286859,1153.8297755894002,30000.0,60,1.0,14582.379712745984,Rural,1
Male,44,Yes,1,Graduate,Salaried,3462.3302356779595,778.8362651227488,30000.0,180,1.0,2799.316046781092,Rural,1
Female,54,Yes,3,Graduate,Salaried,11121.889127158218,3382.4141607238935,32848.035912900414,60,1.0,17695.81618392841,Rural,1
Female,44,No,0,Graduate,Salaried,10462.921005180327,66.68883205792304,30295.233618550265,60,0.0,2548.1674565694393,Rural,0
Male,42,No,1,Graduate,Salaried,8840.121708888571,4090.4472557861177,30000.0,360,1.0,7469.6406753519495,Semiurban,1
Female,28,Yes,0,Graduate,Salaried,3697.874005477181,661.852826157851,30000.0,180,1.0,7003.172734278568,Semiurban,1
Female,39,Yes,2,Graduate,Self employed,8137.548310743197,0.0,30000.0,180,0.0,22601.173830998712,Urban,1
Male,31,No,0,Graduate,Self employed,7599.066023744755,1104.8793714922379,30000.0,36,0.0,14642.319564932735,Semiurban,0
Female,35,Yes,3,Graduate,Self employed,7106.364060510133,0.0,30000.0,180,1.0,10306.129579644847,Semiurban,1
Male,54,No,0,Graduate,Self employed,9124.163167609444,0.0,30000.0,120,0.0,15989.755528557787,Rural,0
Female,51,Yes,4,Graduate,Self employed,7588.427857153193,1595.5499500232368,30000.0,360,1.0,0.0,Urban,1
Female,50,Yes,2,Graduate,Salaried,7850.035590760839,1833.3731329751872,30000.0,60,1.0,11654.93128287274,Semiurban,1
Male,38,No,1,Graduate,Salaried,7592.265708430526,66.74844961861277,30000.0,360,1.0,27980.113422438102,Semiurban,1
Male,67,Yes,2,Not Graduate,Salaried,6851.978520005265,2481.107717569601,30000.0,360,1.0,13058.77205122138,Semiurban,0
Female,24,Yes,2,Graduate,Self employed,1540.9721757145417,2736.261637031701,30000.0,60,1.0,12543.305353354684,Semiurban,1
Male,37,Yes,3,Graduate,Salaried,6209.052693526393,3154.4526348449363,30000.0,60,0.0,16385.027037137566,Semiurban,0
Female,25,No,0,Graduate,Salaried,4609.520102877187,1794.1201106885833,30000.0,60,1.0,19164.841946514764,Rural,1
Female,36,Yes,1,Graduate,Salaried,2800.3976058999488,3045.1430681285483,30000.0,360,1.0,0.0,Rural,1
Female,68,Yes,0,Graduate,Salaried,10204.54154825206,0.0,30000.0,60,0.0,0.0,Rural,0
Female,38,No,1,Graduate,Salaried,10322.488352214259,523.1401770573061,37763.85500357777,360,1.0,13682.330328689171,Semiurban,0
Male,65,No,0,Not Graduate,Self employed,9398.05150073903,0.0,30000.0,360,1.0,6280.987504819923,Urban,1
Male,44,Yes,1,Not Graduate,Salaried,6638.033542139687,1178.838791691088,30000.0,360,0.0,22496.202097759313,Rural,1
Male,54,Yes,1,Graduate,Salaried,9376.562802381643,142.82617120489408,39350.272642443204,240,1.0,9478.604880918208,Semiurban,1
Male,42,Yes,1,Graduate,Self employed,6030.132951504564,750.7632370754014,30000.0,480,1.0,0.0,Urban,1
Male,33,Yes,1,Not Graduate,Salaried,6506.993192244448,3823.2623203060743,30000.0,36,1.0,1855.8886652480232,Semiurban,1
Female,58,Yes,2,Graduate,Self employed,3266.3215738450426,745.4203053694325,30000.0,180,1.0,0.0,Rural,0
Male,68,No,2,Not Graduate,Salaried,6992.4782612471,1620.6884757853209,30000.0,180,1.0,10126.9957017367,Semiurban,0
Female,33,Yes,1,Graduate,Salaried,6150.964821061043,651.5960051136472,30000.0,360,1.0,10492.926981884933,Semiurban,1
Female,58,Yes,1,Graduate,Salaried,2743.3697079138387,1113.5699319352505,30000.0,240,0.0,8604.298321744818,Urban,0
Female,33,No,3,Graduate,Salaried,5872.007220458508,1009.0250206541072,30000.0,360,1.0,20631.032312237912,Semiurban,0
Female,55,Yes,0,Not Graduate,Self employed,5800.676090357979,1672.4860989597391,30000.0,60,1.0,21588.158692133547,Urban,0
Male,59,Yes,0,Graduate,Salaried,10493.9029166116,2747.961303320765,38804.051323203406,480,1.0,10636.89261315111,Rural,1
Female,42,No,0,Graduate,Salaried,8235.533321283525,3471.0909964049943,30000.0,180,1.0,0.0,Semiurban,1
Male,56,No,1,Graduate,Salaried,6028.613597728665,1464.4301228637503,30000.0,180,1.0,16938.252643938067,Semiurban,0
Male,33,No,0,Graduate,Self employed,6621.968274502708,1884.3203290534032,30000.0,480,1.0,16442.881828068603,Urban,1
Female,23,Yes,2,Graduate,Self employed,6110.530945260495,0.0,30000.0,180,1.0,14475.13256125556,Urban,1
Male,24,Yes,1,Graduate,Self employed,5492.715038011131,868.1848863765691,30000.0,180,1.0,19851.837994464928,Semiurban,0
Male,42,No,0,Graduate,Salaried,3293.9320065292827,2410.4341973253836,30000.0,240,1.0,2681.375228311679,Rural,0
Male,65,Yes,3,Not Graduate,Salaried,5622.370305982677,2298.95295762573,30000.0,60,1.0,28070.04308948111,Rural,0
Female,26,Yes,2,Not Graduate,Salaried,4134.754358368717,1317.4145991925752,30000.0,180,1.0,4324.577974865056,Urban,1
Male,42,Yes,0,Graduate,Salaried,2874.211152692134,2329.5909393519287,30000.0,60,0.0,17993.783417606835,Urban,1
Male,55,No,0,Graduate,Self employed,7278.054536368837,1736.1500634907284,30000.0,60,0.0,0.0,Semiurban,1
Male,30,No,0,Graduate,Self employed,6978.161649833088,2800.4593873889826,30000.0,360,1.0,4557.882501839593,Urban,1
Female,56,Yes,0,Graduate,Salaried,1533.2312215798056,1434.0387354356667,30000.0,240,1.0,24130.949173802688,Rural,1
Male,35,No,0,Graduate,Salaried,5693.2884062621815,466.452526643448,30000.0,180,1.0,9912.8014159932,Semiurban,1
Male,60,Yes,3,Not Graduate,Self employed,8489.253464749809,1503.7618853995355,30000.0,180,1.0,18719.380841062382,Urban,1
Male,48,Yes,0,Not Graduate,Salaried,8648.059347240802,0.0,30000.0,180,0.0,13895.643109753968,Semiurban,1
Female,47,Yes,0,Not Graduate,Salaried,8564.592107213097,1574.3286045775742,30377.100129708604,360,0.0,11160.334751998618,Urban,0
Female,28,Yes,2,Graduate,Salaried,6097.28301725365,0.0,30000.0,360,1.0,22910.802599461516,Semiurban,1
Female,43,Yes,1,Graduate,Salaried,3887.386680077122,0.0,30000.0,360,1.0,10106.729402784797,Semiurban,1
Male,62,Yes,3,Graduate,Salaried,3290.7529316048485,1677.6529014114763,30000.0,180,1.0,0.0,Semiurban,1
Male,20,No,2,Graduate,Salaried,6861.512261875894,1716.294005900193,30000.0,180,1.0,5574.07926438636,Urban,1
Female,57,Yes,1,Graduate,Salaried,6948.2000859129075,0.0,30000.0,180,1.0,16409.533829613552,Rural,0
Female,44,No,0,Graduate,Salaried,9218.327779012663,0.0,31466.159317076945,240,1.0,15164.072850900066,Semiurban,1
Female,55,No,4,Graduate,Salaried,8749.949125855208,3055.811482921198,30000.0,180,1.0,0.0,Urban,1
Male,53,Yes,2,Graduate,Salaried,5669.428358672069,273.9548026409858,30000.0,360,0.0,6205.259844734392,Urban,0
Male,41,No,4,Graduate,Self employed,2889.4853028478265,4364.380468604478,30000.0,240,0.0,7346.229206382027,Urban,0
Female,35,Yes,0,Graduate,Self employed,5202.233507472755,997.1202202354808,30000.0,180,0.0,9076.2432470862,Semiurban,1
Female,51,Yes,3,Not Graduate,Salaried,6543.077987026311,1612.0542653219002,30000.0,180,0.0,992.6912911875879,Semiurban,1
Male,27,No,1,Not Graduate,Salaried,5494.79188652649,3425.3115977479115,30000.0,180,1.0,6973.031135044172,Rural,1
Female,49,No,0,Graduate,Self employed,4555.26472980586,1196.5406742901293,30000.0,60,1.0,6171.116117923781,Semiurban,1
Female,24,Yes,1,Not Graduate,Salaried,6632.212037424747,0.0,30000.0,60,1.0,18172.266078095356,Rural,1
Male,52,Yes,1,Not Graduate,Salaried,4740.105646473474,835.4088224585648,30000.0,360,1.0,18472.97048792195,Rural,1
Female,51,Yes,0,Graduate,Self employed,4429.834790686566,946.5838957148636,30000.0,180,1.0,10833.516335289472,Rural,1
Male,24,No,1,Graduate,Salaried,6778.632085758599,0.0,30000.0,60,1.0,8863.681633034148,Rural,1
Male,57,Yes,2,Graduate,Self employed,4995.018549676988,616.2518929887649,30000.0,240,1.0,13119.394496312907,Urban,1
Female,40,Yes,0,Graduate,Salaried,6610.26097244588,0.0,30000.0,360,1.0,5467.399140355401,Semiurban,0
Female,59,Yes,1,Not Graduate,Salaried,6683.010057130306,2386.536635781151,30000.0,120,1.0,2825.3433426604734,Semiurban,1
Male,22,Yes,0,Graduate,Salaried,3151.427497271063,1051.9178112778834,30000.0,360,1.0,4478.230328594264,Urban,1
Female,28,No,0,Graduate,Salaried,4796.897190336469,575.8063762786448,30000.0,360,0.0,6921.494688228347,Rural,1
Male,44,No,3,Graduate,Salaried,9594.442349791156,840.7271040661356,30000.0,240,1.0,2692.2096016618307,Urban,1
Female,29,Yes,2,Graduate,Salaried,3094.801218164282,1334.6830276092492,30000.0,360,1.0,13296.476472502998,Semiurban,1
Male,36,Yes,0,Not Graduate,Self employed,1500.0,1925.2212995346697,30000.0,36,1.0,17837.72539026967,Semiurban,0
Female,53,Yes,4,Graduate,Salaried,1500.0,0.0,30000.0,360,1.0,0.0,Semiurban,0
Female,27,No,3,Graduate,Salaried,6072.774866441673,0.0,30000.0,180,1.0,12201.029689728266,Urban,1
Female,53,No,0,Graduate,Self employed,6077.293195081747,2657.018823103795,30000.0,360,1.0,10240.513637869315,Urban,1
Female,25,Yes,2,Graduate,Self employed,5705.972861437198,381.4946916929041,30000.0,240,0.0,14732.069484294423,Urban,0
Male,28,Yes,0,Graduate,Salaried,9035.474572321255,0.0,30000.0,36,1.0,11896.489855171296,Urban,1
Female,49,Yes,4,Graduate,Salaried,1500.0,1665.719064074657,30000.0,36,1.0,371.20576054695266,Urban,1
Male,59,Yes,1,Graduate,Self employed,6989.834686077059,1695.0547090490304,30000.0,360,1.0,1900.885609142677,Urban,1
Female,28,No,1,Graduate,Salaried,9903.595504508932,0.0,37391.01555632191,240,1.0,12235.388604679782,Semiurban,1
Female,34,Yes,0,Not Graduate,Self employed,3180.548087770715,1344.2225731954095,30000.0,36,1.0,20230.247357964075,Urban,1
Male,66,Yes,3,Graduate,Self employed,5050.4837205252625,2103.3746386425605,30000.0,360,1.0,0.0,Urban,1
Female,69,No,0,Graduate,Self employed,4117.770206928448,1561.5796775593944,30000.0,360,0.0,14765.812638412639,Semiurban,0
Female,49,Yes,0,Graduate,Salaried,3764.134884806178,1947.9722256420928,30000.0,180,1.0,21516.976042301147,Rural,1
Male,42,Yes,0,Not Graduate,Salaried,5184.3449874424,0.0,30000.0,180,0.0,10775.792990350295,Semiurban,1
Male,37,Yes,2,Graduate,Salaried,9568.713209211262,1496.5602324942934,30000.0,36,0.0,16401.619968211526,Rural,1
Male,50,Yes,0,Graduate,Salaried,10593.4666887188,546.0703607943301,38195.6911453222,360,1.0,6375.447352817582,Semiurban,1
Male,49,Yes,3,Graduate,Self employed,5160.151937399631,275.8147619130327,30000.0,180,1.0,11045.070405784985,Rural,1
Male,34,Yes,1,Graduate,Salaried,10762.650535161174,2305.83341412959,38752.41249138038,360,1.0,0.0,Rural,1
Female,21,Yes,0,Not Graduate,Salaried,6088.941192461562,3218.911766011345,30000.0,180,1.0,0.0,Semiurban,1
Female,27,Yes,0,Graduate,Salaried,10384.227566752703,3691.5550819005384,30000.0,240,1.0,19542.1264098022,Rural,1
Male,67,Yes,0,Not Graduate,Self employed,5766.75337586627,2972.2118072588573,30000.0,120,1.0,4120.040578204465,Urban,1
Female,40,No,1,Not Graduate,Salaried,6327.644565115361,835.3987275547245,30000.0,60,1.0,8355.777239972556,Rural,1
Female,44,Yes,2,Graduate,Salaried,6913.686181607087,1529.0802445395148,30000.0,360,1.0,908.4619738384536,Urban,1
Male,43,Yes,0,Not Graduate,Salaried,13947.134198418838,2150.2343076763655,30000.0,180,0.0,720.2423753289931,Semiurban,1
Female,59,Yes,2,Graduate,Salaried,8128.213937111972,1181.766923949193,30000.0,240,1.0,10609.298399243069,Urban,1
Female,23,No,0,Not Graduate,Salaried,4231.838675121341,1196.1462818673165,30000.0,480,1.0,6163.3824469148285,Urban,0
Female,24,No,2,Graduate,Salaried,8422.494675689644,2235.6296978142727,30000.0,480,1.0,15023.767983957587,Urban,1
Female,33,Yes,3,Graduate,Salaried,5095.418657289147,911.0760309611017,30000.0,360,0.0,15620.307351836735,Semiurban,1
Female,44,Yes,2,Graduate,Salaried,4775.624542746977,0.0,30000.0,60,1.0,14566.797170596858,Urban,1
Male,53,Yes,1,Graduate,Salaried,8271.503399730278,378.29040124621224,34549.50970058056,240,1.0,13908.80632742755,Semiurban,1
Female,44,Yes,2,Graduate,Salaried,6077.713969427882,1950.8655666006134,30000.0,360,1.0,24622.14563945509,Semiurban,1
Female,42,Yes,0,Not Graduate,Salaried,6696.439786279515,1004.4899367999336,30000.0,180,1.0,3459.249847640913,Urban,1
Male,66,Yes,0,Graduate,Salaried,6034.963054663232,1510.3149653025068,30000.0,60,0.0,11560.521070376659,Semiurban,1
Female,28,Yes,0,Graduate,Salaried,6841.457816513586,2005.1188633032848,30000.0,360,1.0,21061.518564156708,Urban,1
Male,48,Yes,1,Graduate,Salaried,7062.414743590373,437.7378056535856,30000.0,180,1.0,22116.31847470429,Urban,1
Male,47,Yes,2,Graduate,Salaried,1500.0,2134.372245444709,30000.0,240,1.0,625.8908052434163,Semiurban,1
Male,43,Yes,1,Graduate,Salaried,7666.431671523834,1568.2639051875917,30000.0,480,1.0,9501.15646675304,Semiurban,0
Female,60,No,3,Not Graduate,Salaried,3544.9514504242484,0.0,30000.0,360,1.0,22864.968766938084,Urban,0
Male,33,Yes,0,Graduate,Salaried,2394.2521611014718,3163.4571867793666,30000.0,180,1.0,16064.632841592522,Rural,1
Male,67,No,2,Graduate,Self employed,5853.971890353294,248.88288436462585,30000.0,180,1.0,13562.104251838182,Urban,0
Male,36,Yes,0,Graduate,Salaried,6209.9525082861355,0.0,30000.0,180,1.0,10258.522452522746,Rural,1
Female,47,No,0,Graduate,Salaried,4266.234588569298,0.0,30000.0,60,1.0,8929.592594338037,Rural,0
Female,46,No,2,Graduate,Salaried,8077.579644169936,0.0,30000.0,360,1.0,14305.752504722594,Rural,0
Male,62,No,4,Graduate,Salaried,2644.5620840727324,1078.2599779863,30000.0,360,1.0,9981.007000124133,Rural,1
Male,41,No,1,Graduate,Salaried,4982.640628068602,589.2242416806442,30000.0,120,1.0,11659.371031644447,Urban,1
Female,34,No,0,Not Graduate,Self employed,4537.814662667499,494.7520485391107,30000.0,120,1.0,12628.7896489203,Semiurban,0
Male,21,Yes,1,Graduate,Self employed,5883.531824151652,1929.5529482237184,30000.0,360,1.0,6575.427772052007,Semiurban,0
